license_id,name,category,lat,lng
2972332,Bark Bath & Beyond,retail_general,41.92214,-87.75963
2972341,TACOS LOS PRIMOS,liquor_tavern,41.98660,-87.68969
2972374,TOAST MEXICAN CUISINE,liquor_tavern,41.85040,-87.72458
2972375,TOAST MEXICAN CUISINE,other,41.85040,-87.72458
2972385,Ramova,liquor_tavern,41.83051,-87.64625
2972416,MARGIE'S CANDIES,restaurant_cafe,41.96140,-87.67499
2972421,WILLIE P'S BBQ & CATERING VIN # 4UZAAPBW85CV11131 ; PLATE # 210724H,other,41.88391,-87.70606
2972422,MARGIE'S CANDIES,restaurant_cafe,41.91753,-87.68756
2972434,NA LIGHTNING,other,41.82962,-87.63892
2972435,SHOW FLOORING,other,41.77760,-87.79226
2972466,LA BOMBA FOOD,restaurant_cafe,41.91728,-87.70786
2972469,EGGSPERIENCE IN LAKEVIEW,liquor_tavern,41.94102,-87.64428
2972471,"HAZ COOPERATIVE STUDIOS, LWCA",retail_general,41.85892,-87.64682
2972493,ROCIO'S FLOWERS & PERFUMES,retail_general,41.80845,-87.66998
2972497,EL FOGON TAPATIO,restaurant_cafe,41.91750,-87.70794
2972498,MERCHANDISE 4 LESS,retail_general,41.93150,-87.75715
2972510,EGGSPERIENCE,restaurant_cafe,41.95327,-87.75089
2972516,SUNDARI YANAMADULA,other,41.78208,-87.60947
2972518,MR. ED'S KITCHEN & MARKET,grocery,41.85905,-87.71841
2972524,STUSSY'S DINER,restaurant_cafe,41.83070,-87.64625
2972527,TONY'S ITALIAN DELI,grocery,42.00289,-87.81656
2972528,"BROS. DRUGS & LIQUORS, INC.",liquor_tavern,41.86599,-87.73012
2972531,HOME RUN INN PIZZERIA,liquor_tavern,41.83691,-87.73141
2972532,HOME RUN INN PIZZERIA,restaurant_cafe,41.83691,-87.73141
2972533,NASH BROTHERS CONSTRUCTION CO,other,41.85567,-87.73723
2972534,GALLAS LABEL & DECAL,other,41.99972,-87.81475
2972535,"KOLCRAFT ENTERPRISES, INC.",other,41.88048,-87.65478
2972536,PAUL BORG CONSTRUCTION,other,41.85399,-87.69901
