foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Arie and Ida Crown Memorial,2022,NATIONAL POSTSECONDARY STRATEGY INSTITUTE,50 E WASHINGTON,CHICAGO,IL,60602,125000,PROGRAM,990-PF,41.883277440963,-87.625617731771,sited
Arie and Ida Crown Memorial,2022,NORTH LAWNDALE EMPLOYMENT NETWORK,1111 SOUTH HOMAN AVENUE,CHICAGO,IL,60624,125000,PROGRAM,990-PF,41.868032616251,-87.71051735824,sited
Arie and Ida Crown Memorial,2022,PLANNED PARENTHOOD OF ILLINOIS,18 S MICHIGAN AVENUE 6TH FLOOR,CHICAGO,IL,60603,125000,GENERAL OPERATING,990-PF,41.881367819857,-87.624527825232,sited
Arie and Ida Crown Memorial,2022,TIMELINE THEATRE COMPANY,615 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,125000,CAPITAL,990-PF,41.936433416616,-87.64489803475,sited
Arie and Ida Crown Memorial,2022,TIMELINE THEATRE COMPANY,615 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,125000,CAPITAL,990-PF,41.936433416616,-87.64489803475,sited
Arie and Ida Crown Memorial,2022,VOCEL VIEWING OUR CHILDREN AS EMERGING LEADERS NFP,1550 W CARROLL AVENUE,CHICAGO,IL,60607,125000,PROGRAM,990-PF,41.88745896559,-87.665987437886,sited
Arie and Ida Crown Memorial,2022,CHILDREN FIRST FUND THE CHICAGO PUBLIC SCHOOLS FOUNDATION,42 WEST MADISON STREET,CHICAGO,IL,60602,103515,PROGRAM,990-PF,41.882055509591,-87.629329175517,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,UNIVERSITY OF CHICAGO,5235 S HARPER COURT,CHICAGO,IL,60615,101250,GENERAL OPERATING,990-PF,41.799935726883,-87.588037196681,sited
Arie and Ida Crown Memorial,2022,A SAFE HAVEN FOUNDATION,2750 W ROOSEVELT ROAD,CHICAGO,IL,60608,100000,PROGRAM,990-PF,41.866577776519,-87.695317903688,sited
Arie and Ida Crown Memorial,2022,AFTER SCHOOL MATTERS INC,66 EAST RANDOLPH STREET,CHICAGO,IL,60601,100000,CAPITAL,990-PF,41.88455544074,-87.625548107337,sited
Arie and Ida Crown Memorial,2022,AFTER SCHOOL MATTERS INC,66 EAST RANDOLPH STREET,CHICAGO,IL,60601,100000,PROGRAM,990-PF,41.88455544074,-87.625548107337,sited
