program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,7437,ED Direct: Technical Assistance,"2450 W Division St, Chicago, IL 60622",46809.87,,Economic Development,,2007-12-31,41.903187,-87.688604
cdbg,7438,Employment Training,"790 N Milwaukee Ave, Chicago, IL 60642",90000.00,,Public Services,,2007-12-31,41.896048,-87.655448
cdbg,7439,Employment Training,"10 S Dearborn St, Chicago, IL 60603",152274.00,,Public Services,,2007-12-31,41.881893,-87.629611
cdbg,7440,Employment Training,"3057 N Lincoln Ave, Chicago, IL 60657",55000.00,,Public Services,,2007-12-31,41.937322,-87.665036
cdbg,7441,Employment Training,"5252 N Broadway St, Chicago, IL 60640",63718.00,,Public Services,,2007-12-31,41.977217,-87.660144
cdbg,7442,Employment Training,"4300 N California Ave, Chicago, IL 60618",28802.00,,Public Services,,2007-12-31,41.959447,-87.698613
cdbg,7443,Employment Training,"1014 N Hamlin Ave, Chicago, IL 60651",32244.00,,Public Services,,2007-12-31,41.899363,-87.721535
cdbg,7444,Employment Training,"3333 W Arthington St Ste 459, Chicago, IL 60624",75000.00,,Public Services,,2007-12-31,41.869882,-87.709003
cdbg,7445,Employment Training,"9718 S Halsted St, Chicago, IL 60628",33271.00,,Public Services,,2007-12-31,41.717302,-87.643418
cdbg,7446,Employment Training,"640 W Irving Park Rd, Chicago, IL 60613",32296.00,,Public Services,,2007-12-31,41.954798,-87.646635
cdbg,7447,Employment Training,"3834 N Cicero Ave, Chicago, IL 60641",90000.00,,Public Services,,2007-12-31,41.950726,-87.747496
cdbg,7448,Employment Training,"8625 S Stony Island Ave, Chicago, IL 60617",50000.00,,Public Services,,2007-12-31,41.738143,-87.585016
cdbg,7451,Employment Training,"3726 W Flournoy St, Chicago, IL 60624",90000.00,,Public Services,,2007-12-31,41.872798,-87.718504
cdbg,7453,Employment Training,"2100 W Warren Blvd, Chicago, IL 60612",60000.00,,Public Services,,2007-12-31,41.882392,-87.679115
cdbg,7457,Employment Training,"4150 S King Dr, Chicago, IL 60653",41141.00,,Public Services,,2007-12-31,41.819323,-87.617352
cdbg,7460,Employment Training,"822 E 63rd St, Chicago, IL 60637",40000.00,,Public Services,,2007-12-31,41.780583,-87.604627
cdbg,7461,"Other Public Services Not Listed in 05A-05Y, 03T","1919 S Ashland Ave, Chicago, IL 60608",45000.00,,Public Services,,2007-12-31,41.855839,-87.66581
cdbg,7463,Employment Training,"1455 S Michigan Ave Ste 210, Chicago, IL 60605",90000.00,,Public Services,,2007-12-31,41.862781,-87.623832
cdbg,7465,Employment Training,"2141 S Tan Ct, Chicago, IL 60616",90000.00,,Public Services,,2007-12-31,41.854632,-87.635109
cdbg,7466,Employment Training,"1016 W Argyle St, Chicago, IL 60640",74000.00,,Public Services,,2007-12-31,41.973426,-87.655642
cdbg,7467,Employment Training,"130 E Randolph St Ste 2600, Chicago, IL 60601",90000.00,,Public Services,,2007-12-31,41.884635,-87.623562
cdbg,7468,Employment Training,"1925 N Clybourn Ave Ste 401, Chicago, IL 60614",50000.00,,Public Services,,2007-12-31,41.916084,-87.656368
cdbg,7469,Employment Training,"4750 N Sheridan Rd Ste 249, Chicago, IL 60640",65000.00,,Public Services,,2007-12-31,41.968486,-87.655064
cdbg,7474,Employment Training,"6230 N Clark St, Chicago, IL 60660",40000.00,,Public Services,,2007-12-31,41.995434,-87.670527
cdbg,7475,Employment Training,"2010 W Fulton St, Chicago, IL 60612",35002.00,,Public Services,,2007-12-31,41.886953,-87.677096
cdbg,7476,Employment Training,"7648 N Paulina St, Chicago, IL 60626",33036.00,,Public Services,,2007-12-31,42.019891,-87.672874
cdbg,7477,Employment Training,"4554 N Broadway St Ste 207, Chicago, IL 60640",66000.00,,Public Services,,2007-12-31,41.964601,-87.65719
