hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILB20000030,HEARTS UNITED APTS,746 E BOWEN AVE,60653,116,87,,1999,2000,41.819658,-87.607674,hud_source
ILB20000035,PRAIRIE PARK APTS,5610 S CALUMET AVE,60637,56,49,,1998,2000,41.792675,-87.617724,hud_source
ILB20000040,ROSELAND RIDGE APTS,10513 S MICHIGAN AVE,60628,40,40,,1998,2000,41.703267,-87.620478,hud_source
ILB20000045,SENIOR SUTIES OF GARFIELD RIDGE,5839 S HARLEM AVE,60638,87,87,616949,1999,2000,41.785429,-87.800967,hud_source
ILB20000050,SENIOR SUITES OF WASHINGTON HEIGHTS,848 W 103RD ST,60643,85,85,598756,1999,2000,41.707065,-87.64435,hud_source
ILB20000801,VAN BUREN PARK APTS,2045 W JACKSON BLVD,60612,300,299,679718,1999,2000,41.877348,-87.678171,hud_source
ILB20000802,"ST. EDMUND'S VILLAGE, LLC",6253 S MICHIGAN AVE,60619,230,230,,1998,2000,41.780865,-87.621898,hud_source
ILB20000807,BARBARA JEAN WRIGHT,1046 W 14TH ST,60608,91,91,670211,1999,2000,41.863615,-87.65251,hud_source
ILB20000808,ARCHER COURTS APTS,2220 S PRINCETON AVE,60616,146,146,470548,2001,2000,41.85212,-87.634998,hud_source
ILB20009002,DEBORAH'S PLACE III,2822 W JACKSON BLVD,60612,90,90,,1999,2000,41.877616,-87.697146,hud_source
ILB20009809,BARBARA JEAN WRIGHT COURT APTS,1035 W MAXWELL ST,60608,47,47,,1999,2000,41.864526,-87.652185,hud_source
ILB20009810,BELMONT SENIOR PLACE APTS,4646 W BELMONT AVE,60641,109,109,,1998,2000,41.939057,-87.743762,hud_source
ILB20009811,LPAZ PLACE APARTMENTS,2556 W NORTH AVE,60647-5216,44,44,,9999,2000,41.910498,-87.69134,hud_source
